
AI_Feature,Description,Primary_Users,General_Use_Cases,Specific_Use_Cases,Governance_Security_Considerations,Insight_Quality_Workflow_Fit,Risks_Mitigations,Assessment
Auto Answers,AI chatbot for natural‑language questions; suggests queries and performs forecasting and key‑driver analysis,Business users; analysts,Ask why sales drop; use key‑driver analysis to explain metrics,"Test cross‑lingual queries (e.g., ask questions in Spanish); Ask follow‑up questions using synonyms; Summarize unstructured documents like meeting notes and ask 'What are the key decisions?'",Assign Use Auto Assistant privilege; monitor logs; ensure semantic layer definitions,Grounded in semantic graph; lowers technical barrier; quality depends on model definitions,Hallucinations or misleading explanations; train users; validate answers against reports,Accuracy of responses; relevance; clarity; response time
Auto Dashboard,AI tool that generates dashboards and suggests visualizations with free‑form layouts and beautification,Analysts; architects,Rapidly prototype dashboards from a dataset,"Create a cross‑department dashboard (e.g., sales + support metrics) by describing both domains; Test bilingual dashboards; Evaluate exporting AI‑generated dashboards to PowerPoint",Restrict to analysts and architects; review dashboards; enforce data permissions,Speeds design; integrates into workflows but may require manual refinement,AI may misinterpret intent; refine prompts; review visuals,Usefulness of suggested visuals; layout fit; ease of editing; aesthetic quality
Auto SQL,"Translates natural language to SQL; supports table creation, joins and explains logic",Architects; power users,Generate SQL queries and join tables,Ask to build SQL with window functions for moving averages; Generate a dynamic query with parameter placeholders; Test query generation on denormalized fact tables,Limit access to architects; review generated SQL; enforce resource quotas,Simplifies query building; relies on metadata; accelerates modelling,Inefficient queries or errors could impact databases; require DBA review and testing,Correctness of generated SQL; efficiency; clarity of explanations
Auto Expert,AI chatbot providing documentation and support,All roles,Get step‑by‑step instructions and training,Ask domain‑specific questions about our data architecture; Query best practices in dataset security; Use to troubleshoot a performance issue by summarizing relevant knowledge base articles,Ensure documentation is current; restrict sensitive information; link to internal runbooks,Improves user adoption; quick answers but may not reflect custom processes,Outdated answers or gaps; maintain documentation; encourage cross‑checking,Helpfulness; content coverage; currency
Auto Narratives,Generates natural‑language summaries for individual visualizations or entire pages,Analysts (authoring); business users (reading),Summarize KPIs and adapt to filters,Generate monthly executive summaries of sales and profitability across regions; Write narratives in multiple languages; Compare two dashboards and produce a difference report,Validate narrative content; control access to sensitive metrics; test across multiple filters,Enhances comprehension; dynamic and contextual; may oversimplify relationships,Oversimplification or omissions; provide links to underlying visuals and review narratives,Accuracy; context adherence; readability
Auto Bot,Customizable stand‑alone or embedded AI bot for Q&A,Architects; developers; end users,Embedded Q&A tool; stand‑alone bot,Build a bot integrated into our CRM to answer customer‑specific questions; Configure a bot to push alerts when metrics exceed thresholds; Test customizing the bot persona and response style for departments,Configure data access; monitor bot interactions; restrict sensitive metrics,Flexible and widely adoptable; requires integration; improves adoption,Inconsistent answers if data changes; link bots to semantic layer; schedule refreshes,Customization ease; relevance of responses; integration quality
Auto Teams Chatbot,AI‑enabled chatbot integrated into Microsoft Teams,Business users; managers,Deliver analytics via Teams and answer queries,"Automatically post weekly sales metrics to a channel; Set up meeting‑specific queries (e.g., agenda items for monthly review); Test voice commands within Teams",Apply channel‑specific permissions; audit logs; restrict sensitive data sharing,Convenient collaboration in existing tool; real‑time insights,Sensitive insights may leak in channels; implement role‑based controls and training,Timeliness; relevance in chat; security
HyperIntelligence + Auto,Zero‑code overlay plus AI; hover to see metrics and ask follow‑up questions,Business users,Provide key metrics via overlays in existing apps,Hover over product names in ERP to see margin and ask 'What factors affect margin?'; Use overlay in ticketing system to show resolution times and ask follow‑up questions; Evaluate multi‑language overlays,Tag fields properly; enforce security; hide sensitive fields,Delivers just‑in‑time insights; reduces context switching; fits daily workflows,Interface clutter or stale data; define card design standards and schedule refreshes,Context sensitivity; speed; visual clarity
Auto Schema,AI assistant (in development) to help create schema objects,Architects,Draft dimensions or fact tables from business descriptions,Convert a denormalized sales spreadsheet into a star schema; Use AI suggestions for attribute hierarchies; Test generating a semantic model for a new HR domain,Limit to experienced architects; review AI‑generated models; enforce normalization and naming standards,Accelerates modelling; aids consistency; but requires manual validation,Incorrect models could lead to data issues; treat AI output as drafts and peer‑review extensively,Accuracy of schema suggestions; normalization quality; hierarchy alignment
"Advanced Analytics (Forecasting, Trend & Key Driver)","AI‑driven forecasting, trend analysis and key‑driver detection",Analysts; data scientists,Forecast metrics and identify drivers,Run multi‑step forecasting for inventory demand; Use key‑driver analysis to rank factors affecting customer satisfaction; Detect seasonality patterns across states,Grant ML privileges to trained users; validate models against historical data,Provides deeper insights; integrated into dashboards for actionability,Misinterpreting drivers or overfitting; involve data scientists; explain methods and assumptions,Model accuracy; driver relevance; interpretability
